product,product_category
JACOBS CREEK RESERVE CABERNET SAUVIGNON,0
JACOBS CREEK RESERVE MERLOT,0
JACOBS CREEK RESERVE PINOT NOIR,0
JACOBS CREEK RESERVE RIESLING,1
JACOBS CREEK RESERVE SAUVIGNON BLANC,1
JACOBS CREEK SPARKLING CHARDONNAY,3
JACOBS CREEK SPARKLING ROSE,3
JACOBS CREEK SPARKLING MOSCATO,3
JACOBS CREEK SPARKLING ROSE MOSCATO,3
MUMM NAPA BRUT PRESTIGE,3
MUMM BRUT PRESTIGE,3
MUMM NAPA BLANC DE NOIR,3
MUMM NAPA BRUT ROSE,3
MUMM NAPA CUVEE,3
MUMM NAPA BLANC DE BLANC,3
MUMM NAPA DEMI SEC,3
MUMM NAPA DEVAUX,3
MUMM NAPA PINOT NOIR,3
MUMM NAPA BRUT RESERVE,3
MUMM NAPA CHARDONNAY,3
MUMM NAPA PINOT GRIS,3
MUMM NAPA SYRAH,3
TRIPLEBANK PINOT NOIR,0
TRIPLEBANK SAUVIGNON BLANC,1
PERRIER JOUET BELLE EPOQUE CHAMPAGNE,3
PERRIER JOUET BELLE EPOQUE BRUT,3
PERRIER JOUET BELLE EPOQUE ROSE,3
PERRIER JOUET BLASON,3
PERRIER JOUET CUVEE SPECIALE,3
PERRIER JOUET GRAND BRUT,3
PERRIER JOULE GRAND BRUT,3
PERRIER JOUET GRAND BRUT VINTAGE,3
PERRIER JOUET NUIT BLANCHE,3
SANDEMAN FINE DRY MADEIRA,4
SANDEMAN RAINWATER MADEIRA,4
SANDEMAN TAWNY PORT AGED YEAR,4
SANDEMAN TAWNY PORT AGED YEAR,4
SANDEMAN TAWYNY PORT AGED YEAR,4
SANDEMAN TAWNY PORT,4
SANDEMAN FOUNDERS RESERVE PORT,4
SANDEMAN LATE BOTTLE VINTAGE PORT,4
SANDEMAN RUBY PORT,4
SANDEMAN TAWNY PORT AGED YEAR,4
SANDEMAN TAWNY PORT AGED YEAR,4
SANDEMAN VINTAGE PORT,4
SANDEMAN VINTAGE PORT ,4
SANDEMAN VINTAGE PORT ,4
SANDEMAN ARMADA SHERRY,4
SANDEMAN CHARACTER SHERRY,4
SANDEMAN DON FINO SHERRY,4
STONELEIGH CHARDONNAY,1
STONELEIGH RIESLING,1
STONELEIGH PINOT NOIR,0
STONELEIGH SAUVIGNON BLANC,1
WYNDHAM ESTATE BIN SHIRAZ,0
WYNDHAM ESTATE FOUNDERS RESERVE CABERNET SAUVIGNON MERLOT,0
WYNDHAM ESTATE FOUNDERS RESERVE CHARDONNAY,1
WYNDHAM ESTATE BLACK CUSTER SHIRAZ,0
WYNDHAM ESTATE SPARKLING SHIRAZ,3
WYNDHAM ESTATE BIN CHARDONNAY,1
WYNDHAM ESTATE BIN PINOT NOIR,0
WYNDHAM ESTATE BIN CABERNET SAUVIGNON,0
WYNDHAM ESTATE BIN SHIRAZ ROSE,0
WYNDHAM ESTATE BIN SHIRAZ,0
WYNDHAM ESTATE BIN CABERNET SAUVIGNON MERLOT,0
WYNDHAM ESTATE BIN MERLOT,0
YSIOS RESERVA,0
DI PADRINO DRY VERMOUTH PF,4
DI PADRINO SWEET VERMOUTH PF,4
EGER EGRI BULL BLOOD PF,0
FUKI CHERRY,4
FUKI GREEN TEA PF,4
FUKI PLUM PF,4
FUKI SAKE,4
VERMOUTH EXTRA DRY,4
VERMOUTH SWEET,4
BENNETT CABERNET SAUVIGNON ,0
BENNETT RUS RIV CHARDONNAY RES ,1
LILLET BLANC,4
LILLET ROSE,4
LILLET ROUGE,4
LILLET JDL RSV BLANC,4
CSM CHARD CANOE RIDGE PK,1
MARTINI ROSSI ASTI,3
MARTINI ROSSI PROSECCO,3
MARTINI ROSSI SPARKLING ROSE,3
MARTINI ROSSI BIANCO VERMOUTH,4
CHARLES HEIDSIECK RESERVE CHARLIE VINT,3
PIPER HEIDSIECK JEAN PAUL GAULTIER,3
PIPER HEIDSIECK BRUT,3
CHARLES HEIDSIECK BRUT RESERVE MEC,3
CHARLES HEIDSIECK ROSE NON VINTAGE,3
CH HEID BLANC DES MILLENAIRES BRUT VINT,3
CHARLES HEIDSIECK ROSE VINTAGE,3
PIPER HEIDSIECK BRUT MILLESIME VINTAGE,3
PIPER HEIDSIECK RARE OLD,3
ANTINORI ORIVETO,1
ANTINORI TIGANELLO ESTATE,1
ANTINORI SOLAIA TOSCANA,0
BEARBOAT CHARDONNAY,1
BEARBOAT PINOT NOIR RUSSIAN RIVER,0
BEARBOAT SYRAH,0
BEARBOAT SAUVIGNON BLANC,1
BEARBOAT PINOT NOIR SONOMA COAST,0
BEARBOAT RIESLING,1
BIONDI SANTI BRUNELLO DI MONTALCINO,0
BIONDI SANTI ROSSO DI MONTALCINO,0
BIONDI SANTI SASSOALLORO,0
BIONDI SANTI SCHIDIONE,0
BIONDI SANTI POGGIO SALVI BRUNELLO,0
BIONDI SANTI POGGIO SALVI ROSSO DI MONTALCINO,0
CHARLES HEIDSIECK MILLESIMES VINT,3
DOMAINE DU GROLLET MERLOT,0
DOMAINE DU GROLLET RESERVE,0
DOMAINE DU GROLLET IN FINE,0
DOMAINE DU GROLLET ROSE,2
DOMAINE LAROCHE PC VAUDEVEY,1
DOMAINE LAROCHE CHABLIS GC LES CLOS,1
DOMAINE LAROCHE CHABLIS ST MARTIN,1
DOMAINE LAROCHE PC FOURCHAUMES,1
LAROCHE CHABLIS GC LES BLANCHOTS,1
DOMAINE LAROCHE GC OBEDIENCE,1
DOM LAROCHE LES VAILLONS VIEILLES VIGNES,1
LAROCHE MAS LA CHEVAL BLANC,1
LAROCHE LA CROIX CHEVALIERE,0
LAROCHE CHARDONNAY,1
LAROCHE SYRAH,0
LAROCHE MERLOT,0
LAROCHE CHABLIS,1
LAROCHE PUNTO NINO SAUVIGNON BLANC,1
LAROCHE VINA PUNTO ALTO PINOT NOIR,0
LAROCHE LAVENIR CHENIN BLANC,1
LAROCHE LAVENIR PINOTAGE,0
MASI AMORONE CLASSICO,0
MASI COSTASERA AMARONE CLASSICO,0
MASI SERGERO ALIGHIERI,0
MASI BONACOSTA VALPOLICELLA CLASSICO,0
MASI SEREGO ALIGHIERI BIANCO,1
MASI ROSSO DEL VERONESE,0
MASI PASSO DOBLE MALBEC,0
MASI MODELLO DELLE VENEZIE BIANCO,1
MASI ROSATO DELLE VENEZIE,0
MASI SEREGO ALIGHIERI,0
MERRYVALE BECKSTOFFER X CABERNET SAUVIGNON,0
MERRYVALLE BECKSTOFFER X CABERNET SAUVIGNON,0
MERRYVALE LAS AMIGAS MERLOT,0
MERRYVALE PRESTIGE PROFILE,0
MERRYVALE RESERVE CABERNET SAUVIGNON,0
MERRYVALE SYRAH,0
MERRYVALE STARMONT CABERNET SAUVIGNON,0
MERRYVALE STARMONT CHARDONNAY,1
MERRYVALE STARMONT MERLOT,0
MERRYVALE JULIANAS SAUVIGNON BLANC,1
PIPER HEIDSIECK BABY,3
PIPER HEIDSIECK ROSE SAUVAGE,3
PIPER HEIDSIECK ROSE SAUVAGE VIKTOR ROLF,3
PIPER HEIDSIECK BRUT ,3
PIPER SONOMA BLANC DE NOIR,3
PIPER SONOMA BRUT,3
PIPER SONOMA TETE DE CUVEE,3
RENE JUNOT RED,0
RENE JUNOT WHITE,1
TORMARESCA ROSSO,0
TORMARESCA CHARDONNAY,1
TORMARESCA BOCCA DI LUPO,0
VIETTI ARNEIS,1
VIETTI BARBERA DALBA TREVIGNE,0
VIETTI BARBERA SCARRONE,0
VIETTI BARBERA SCARRONE VIGNE VECCHIA,0
VIETTI BARBERA DASTI LA CRENA,0
VIETTI BAROLO BRUNATE,0
VIETTI BAROLO CASTIGLIONE,0
VIETTI BAROLO LAZZARITO,0
VIETTI BAROLO ROCCHE,0
VIETTI DOLCETTO TREVIGNE,0
VIETTI NEBBIOLO PER BACCO,0
VIETTI BARBARESCO MASSERIA,0
VIETTI BARBERA DASTI TREVIGNE,0
MERRYVALE RESERVE CHARDONNAY,1
PIPER SONOMA ROSE,3
PIPER SONOMA SONOMA COAST PINOT NOIR,0
DIVINE,4
CSM ROSE DRY,1
HARDYS WHISKERS,4
OLD FLORIDA WHITE FLA,1
NATHANSON CREEK MERLOT,0
TY KU JUNMAI GINJO,4
COCKBURN SPECIAL RESERVE,4
COCKBURN TAWNY PORT YEAR NV,4
DOW TAWNY PORT,4
FONSECA VINTAGE PORT,4
FONSECA PORT BIN ,4
FONSECA TAWNY YEAR,4
QUINTA NOVAL BLACK,4
QUINTA NOVAL TAWNY PORT,4
TAYLOR FLADGATE TAWNY YEAR,4
TAYLOR FLAD PORT LBV,4
WARRES HERITAGE RUBY PORT,4
HARVEYS BRISTOL CREAM SHERRY,4
LUSTAU AMONTILLADO ESQUAD,4
LUSTAU DRY AMONTILLADO,4
LUSTAU RARE CREAM,4
LUSTAU LIGHT FINO JARANA,4
LUSTAU PALO CORTADO,4
LUSTAU PEDRO XIM SAN EMILIO,4
TIO PEPE FINO,4
COSSART RAINWATER MADEIRA,4
CHOCOVINE CHOCOLATE WINE,4
COLOMBO MARSALA SWEET,4
GEKKEIKAN SAKE HORIN,4
PAULILLES BANYULS RIMAGE,4
LOMBARDO SWEET MARSALA ,4
TAKARA MIRIN,4
PELLEGRINO MARSALA DRY,4
PELLEGRINO MARSALA SWEET,4
TY KU SAKE SILVER,4
CHRISTIAN BROS RUBY PORT,4
FICKLIN OLD VINE TINTA PORT,4
ITALIAN SWISS COLONY PORT,4
QUADY ESSENSIA,1
TAYLOR NEW YORK TABLES TAWNY PORT,4
GALLO FAIRBANKS RED PORT,4
ITALIAN SWISS COLONY SHERRY,4
CHRISTIAN BROS CREAM SHERRY,4
GALLO SHEFFIELD CREAM SHERRY,4
CHRISTIAN BROS DRY SHERRY,4
CRIBARI MARSALA,4
DUBONNET BLANC,4
DUBONNET ROUGE,4
GEKKEIKAN SAKE GLASS,4
GEKKEIKAN SAKE,4
GEKKEIKAN DRAFT SAKE,4
OZEKI SAKE,4
PAUL MASSON MADEIRA,4
QUADY ELYSIUM,4
SHO CHIKU BAI SAKE,4
PUNT E MES VERMOUTH,4
LEJON SWEET VERMOUTH,4
CHAT CARBONNIEUX BLANC,1
CHAT CHEVAL BLANC ST EM,0
CHAT DE SALES POMEROL,0
CHATEAU GISCOURS MARGAUX,0
CHATEAU GREYSAC MEDOC BORDEAUX,0
CHATEAU LATOUR BORDEAUX,0
CHATEAU LEOVILLE LAS CASES ST JULIEN,0
CHATEAU LAFAURIE PEYRAGUEY BORDEAUX,0
CHATEAU LYNCH BAGES,0
CHATEAU MONTROSE,0
CHATEAU PRIEURE LICHINE,0
CHATEAU BOURGNEUF POMEROL BORDEAUX,0
CHAT HAUT BRION,0
CHAT CLOS LES LUNELLES,0
MOUTON CADET ROUGE,0
MOUTON CADET BLANC,1
BOUCHARD CHARDONNAY VIN DE PAYS,1
BOUCHARD PINOT NOIR VIN DE PAYS,0
DUBOEUF BEAUJ VILLAGES,0
LOUIS JADOT BEAUJOLAIS,0
JADOT BEAUNE CLOS URSULES,0
JADOT BONNES MARES,0
JADOT CHEVALIER MONTRACHET,1
LOUIS JADOT CORTON POUGETS HERITAGE,0
LOUIS JADOT CORTON CHARLEMAGNE,1
JADOT G CHAMBERTIN ESTOUR,0
JADOT MACON VILLAGES,1
JADOT MEURSAULT,1
JADOT MOULIN A VENT JACQUES,0
JADOT NUITS ST GEORGES,0
LOUIS JADOT POUILLY FUISSE,1
JADOT POMMARD LES RUGIENS,0
JADOT PULIGNY CLOS GARENNE,1
TENUTA LA FUGA BRUNELLO PK,1
JADOT NUITS ST G BOUDOTS,0
LATOUR GRANDE ARDECHE CHARDONNAY,1
CHAT FIGEAC ST EM,0
FAT BASTARD CHARDONNAY,1
CHATEAU DAQUERIA TAVEL ROSE,2
MONTFORT VOUVRAY,1
CHATEAU DE ESCLANS WHISPERING ANGEL ROSE,2
CHAT DE SANCERRE,1
CHATEAU DE LA NERTHE CHATEAUNEUF,0
DELAS COTES RHONE ESPRIT,0
DOMAINE HERMITAGE BANDOL ROSE,2
CHATEAU MONT REDON CHATEAUNEUF DU PAPE,0
FRENCH RABBIT CHARDONNAY,1
FRENCH RABBIT PINOT NOIR,0
GUIGAL COTES DU RHONE,0
HERON PINOT NOIR CALIFORNIA,0
HOBNOB MALBEC,0
HOBNOB PINOT NOIR,0
JABOULET PARELLELE COTE DU RHONE,0
VIEILLE FERME LUBERON BLANC,1
LA VIEILLE FERME LUBERON WHITE,1
LA VIEILLE FERME VENTOUX RED,0
DOMAINE ROQUETTE CNP,0
VIEILLE FERME VENTOUX ROUGE,0
NAKED EARTH ROUGE ORGANIC,0
PERRIN RES COTES RHONE ROUGE,0
SAUVIION SANCERE,1
SAUVIION VOUVRAY,1
TRIMBACH RIESLING,1
TRIMBACH GEWURZTRAMINER,1
TRIMBACH PINOT BLANC,1
VENDANGE MERLOT,0
BLUE NUN RIVANER QUALITATSWEIN,1
BLUE NUN RIVANER QUALITATSWEIN R,1
CLEAN SLATE RIESLING,1
DR LOOSEN DRY RIESLING,1
MOSELLAND ARSVITIS RIESLING,1
STE MICHELLE RIESLING,1
ST CHRISTOPHER GLUHWEIN,4
CECCHI CHIANTI CLASSICO,0
DA VINCI CHIANTI DOCG,0
FOLONARI CHIANTI,0
GABBIANO CHIANTI DOCG,0
GABBIANO CHIANTI CLASSICO,0
MELINI CHIANTI BORGHI DELSA,0
ROCCA DELLE MACIE CHIANTI CLASSICO,0
RUFFINO RISERVA DUCALE CHIANTI CLASSICO RISERVA,0
RUFFINO CHIANTI DOCG,0
STRACCALI CHIANTI,0
FUEDO MACCARI SAIA,0
ANSELMI SAN VINCENZO,1
ANTINORI CHIANTI,0
ANTINORI SANGIOVESE,0
ANTINORI ROSSO,0
MICHELLE CHIARLO BARBERA,0
BELLA SERA PINOT GRIGIO,1
BELLA SERA MOSCATO,1
BOLLA SANGIOVESE,0
BOLLA VALPOLICELLA,0
BOSCARELLI VINO NOBILE,0
BOTA BOX ZINFANDEL,0
LA FUGA BRUNELLO MONTALCINO,0
CABREO TOSCANA IL BORGO,0
CAPARZO SANGIOVESE,0
CASTELLO BANFI POGGIO ALLE MURA BRUNELLO DI MONTALCINO,0
CAVIT PINOT NOIR,0
CAVIT PINOT GRIGIO,1
CELLA LAMBRUSCO,3
CAMPO AL MARE BOLGHERI,0
CAPEZZANA VIN SANTO,4
CASTELLO BANFI COL DI SASSO SANGIOVESE CABERNET SAUVIGNON,0
DI MAJO SANGIOVESE,0
ECCO DOMANI MERLOT,0
FALSECO VITIANO BIANCO,1
FEUDI FIANO,1
FRESCOBALDI POMINO CAST ROSE,2
PRINCIPESSA GAVIA,1
BRACCESCA VINO NOBILE STA PIA,0
NARDI BRUNELLO MANACHIARA,0
FRESCOBALDI REMOLE TOSCANA,0
MASTRO LACRYMA CHRISTI BIANCO,1
NOZZOLE LE BRUNICHE CHARDONNAY,1
PRINCIPATO ROSATO,0
RIUNITE LAMBRUSCO,0
RIUNITE CLASSIC PEACH,4
ROSCATO ROSSO DOLCE,0
RUFFINO AZAINO CHIANTI CLASSICO,0
RUFFINO UNOAKED CHARDONNAY,1
RUFFINO MODUS TOSCANA,0
SAN GUIDO SASSICAIA,0
GUIDALBERTO,0
SETTE PONTI CROGNOLO,0
TERRABIANCA CAMPACCIO,0
VIETTI NEBBIOLO PERBACCO,0
ALAMOS MALBEC,0
WILLIAM COLE ALBAMAR SAUVIGNON BLANC,1
ALICE WHITE CABERNET SAUVIGNON,0
ALICE WHITE CHARDONNAY,1
ALICE WHITE SHIRAZ,0
ALMADEN MOSCATO,1
ANTIYAL MAIPO,0
APALTAGUA CARMENERE RESERVE,0
BLACK SWAN CABERNET SAUVIGNON,0
BLACK SWAN CHARDONNAY,1
BLACK SWAN MERLOT,0
BLACK SWAN SHIRAZ,0
BLACK BOX MALBEC,0
BLACK BOX CABERNET SAUVIGNON,0
BLACK OPAL CABERNET SAUV,0
BODEGA ELENA MALBEC,0
BOTA BOX MOSCATO,1
BOUTARI MOSCHOFILERO,1
LAPOSTOLLE CABERNET SAUVIGNON,0
LAPOSTOLLE SYRAH,0
CRUZ GARCIA SANGRIA,4
CALCU CABERNET SAUVIGNON,0
CALCU ROSE,2
CATENA ALTA CHARDONNAY,1
CATENA ZAPATA MALBEC ALTA,0
CATENA CHARDONNAY,1
CATENA MALBEC COSTCO,0
CONCHA Y TORO CASILLERO DEL DIABLO MERLOT,0
CONCHA Y TORO CASILLERO DEL DIABLO CARMENERE,0
CONCHA Y TORO DON MELCHOR CABERNET SAUVIGNON CABERNET FRANC,0
CONCHA Y TORO FRONTERA CABERNET SAUVIGNON MERLOT,0
CONCHA Y TORO CASILLERO DEL DIABLO CABERNET SAUVIGNON,0
CONCHA Y TORO CASILLERO DEL DIABLO SAUVIGNON BLANC,1
CONCHA Y TORO FRONTERA CHARDONNAY,1
CONCHA Y TORO FRONTERA SAUVIGNON BLANC,1
COORALOOK CHARDONNAY STRATHBOGIE RANGES,1
COORALOOK PINOT NOIR STRATHBOGIE RANGES,0
COORALOOK SHIRAZ HEATHCOTE,0
COUSINO MACUL CABERNET SAUVIGNON ANTIQUA RES,0
COUSINO MACUL CHARDONNAY,1
CUPCAKE SAUVIGNON BLANC,1
DOMUS AUREA,0
EMILIANA ECO CHARDONNAY,1
EMILIANA ECO SAUVIGNON BLANC,1
CHOCOVINE ESPRESSO,4
FETZER MALBEC,0
FISH EYE PINOT GRIGIO,1
FISH EYE PINOT NOIR,0
FISH EYE SAUVIGNON BLANC,1
FOXHORN CABERNET SAUVIGNON,0
FOXHORN CHARDONNAY,1
FOXHORN MERLOT,0
GALLO FAMILY MOSCATO TWIN VALLEY,1
DON MIGUEL GASCON MALBEC,0
GATO NEGRO MALBEC,0
GREG NORMAN SHIRAZ,0
FAIRVIEW GOATS DO ROAM RED,0
FAIRVIEW GOATS DO ROAM WHITE BLEND,1
GRAN VERANO SAUVIGNON BLANC,1
GREEN POINT CAB SHIRAZ,0
GREEN POINT SHIRAZ VICTORIA,0
GREEN POINT CHARDONNAY RESERVE,1
HARDYS STAMP CHARDONNAY,1
HARDYS STAMP RIESLING,1
REX GOLIATH CABERNET SAUVIGNON,0
REX GOLIATH FREE RANGE WHITE,1
ANTIYAL KUYEN,0
LANCERS ROSE,2
PETER LEHMANN SHIRAZ,0
PETER LEHMANN RIESLING EDEN V,1
LINDEMANS CABERNET SAUVIGNON BIN ,0
LINDEMANS CHARDONNAY BIN ,1
LINDEMANS SHIRAZ BIN ,0
LINDEMANS MERLOT BIN ,0
LINDEMANS SEM CHARD CAWARRA,1
LINDEMANS SHIRAZ CAB CAWARRA,0
LOS VASCOS CABERNET SAUVIGNON,0
LITTLE PENGUIN CABERNET SAUVIGNON,0
LITTLE PENGUIN CHARDONNAY,1
LITTLE PENGUIN MERLOT,0
LITTLE PENGUIN SHIRAZ,0
LUIGI BOSCA MALBEC,0
HARDYS STAMP SHIRAZ,0
BV CABERNET SAUVIGNON LATOUR PR,0
MARQUIS DE RISCAL ROSE,2
MATEUS ROSE PORTUGAL,2
MATUA SAUVIGNON BLANC,1
MCWILLIAMS RIESLING,1
MEDRANO ESTATE MALBEC,0
MONKEY BAY SAUVIGNON BLANC,1
MOLLYDOOKER SHIRAZ,0
MOLLYDOOKER TWO LEFT FEET,0
MARQUES CACERES RIOJA ROUGE,0
MARQUES CACERES ROSE,2
NATHANSON CREEK CABERNET SAUVIGNON,0
NEW AGE WHITE WINE,1
NOBILO SAUVIGNON BLANC,1
NUMANTHIA TINTO DE TORO,0
PARGUA II ANKA MAIPO,0
PENALOLEN CABERNET MAIPO,0
PENALOLEN SAUVIGNON BLANC,1
PENFOLDS CABERNET SHIRAZ BIN ,0
PENFOLDS CABERNET SAUVIGNON B,0
PENFOLDS SHIRAZ ST HENRI,0
PENFOLDS KOONUNGA CHARDONNAY,1
PENFOLDS BIN GSM BLEND,0
PENFOLDS SHIRAZ KALIMNA B,0
PENFOLDS SHIRAZ BIN ,0
PENFOLDS THOMAS HYLAND SHIRAZ,0
PROXIMO RIOJA MARQUES DE RISCA,0
RENE BARBIER RED,0
RENE BARBIER WHITE,1
REDWOOD CREEK MALBEC,0
ROSEMOUNT EST SHIRAZ,0
ROSEMOUNT SHIRAZ,0
ABADIA RETUERTA RIVOLA DUERO,0
TORRES SANGRE DE TORO,0
SANTA RITA CARMENERE,0
SANTA RITA CABERNET SAUVIGNON,0
SANTA CAROLINA CARMENERE RESER,0
SEVEN SPANISH RED WINE,0
STARBOROUGH SAUVIGNON BLANC,1
THE SHOW MALBEC,0
TERRAZAS DE LOS ANDES MALBEC,0
CHEVAL DES ANDES RED,0
TRAPICHE MALBEC,0
VALLE PERDIDO MALBEC,0
VAMPIRE MERLOT,0
VENDANGE CHARDONNAY,1
VENDANGE CABERNET SAUVIGNON,0
VINA SAN ESTEBAN MALBEC,0
VINAMAS SPANISH RED,0
VILLA MARIA SAUVIGNON BLANC,1
WOLF BLASS CABERNET SAUVIGNON YLLW LABL,0
WOLF BLASS RIESLING GOLD L,1
WOLF BLASS SHIRAZ GOLD L,0
WOLF BLASS CHARDONNAY GOLD LABEL,1
WOODBRIDGE BY ROBERT MONDAVI MOSCATO,1
WOODBRIDGE BY ROBERT MONDAVI MALBEC,0
OXFORD LANDING SAUVIGNON BLANC,1
OXFORD LANDING SHIRAZ,0
YELLOWBLUE ROSE ORGANIC,2
YELLOWBLUE MALBEC ORGANIC,0
YELLOWBLUE TORRONTES ORGANIC,1
YELLOW TAIL CABERNET SAUVIGNON,0
YELLOW TAIL CHARDONNAY,1
YELLOW TAIL MERLOT,0
YELLOW TAIL SHIRAZ,0
YELLOW TAIL SHIRAZ CABERNET SAUVINGNON,0
YELLOW TAIL PINOT GRIGIO,1
ACACIA A PINOT NOIR,0
ACACIA PINOT NOIR CARNEROS,0
ALMADEN MERLOT,0
ALMADEN CABERNET SAUVIGNON,0
ALMADEN BURGUNDY,0
AMBERHILL SECRET RED,0
ANGELINE PINOT NOIR,0
APOTHIC RED,0
AQUINAS CABERNET SAUVIGNON NAPA,0
ARTEZIN ZIN MENDOCINO ,0
BAREFOOT CELLARS SHIRAZ,0
BAREFOOT CELLARS CABERNET SAUVIGNON,0
BAREFOOT CELLARS MERLOT,0
BAREFOOT CELLARS ZINFANDEL,0
BAREFOOT CELLARS PINOT NOIR,0
BAREFOOT CELLARS SWEET RED,0
BENZIGER MERLOT,0
BERINGER FOUNDERS CABERNET SAUVIGNON,0
BERINGER FOUNDERS MERLOT,0
BERINGER FOUNDERS PINOT NOIR,0
BERINGER CALIFORNIA MERLOT,0
BERINGER CABERNET SAUVIGNON CALIFORNIA,0
BLACK BOX RED ELEGANCE,0
BLACK BOX MERLOT,0
BLACKSTONE CABERNET SAUVIGNON,0
BLACKSTONE MERLOT,0
BOGLE OLD VINES ZINFANDEL,0
BOGLE MERLOT,0
BOGLE PETITE SIRAH,0
BOHEMIAN HIGHWAY MERLOT,0
BERINGER CABERNET SAUVIGNON RESERVE,0
BERINGER CABERNET SAUVIGNON KNIGHTS VALLEY,0
BV PINOT NOIR COASTAL,0
BV MERLOT COASTAL,0
BV CABERNET SAUVIGNON COASTAL,0
 CAB NAPA,0
BV CABERNET SAUVIGNON,0
CLOS DU BOIS CABERNET SAUVIGNON RESERVE,0
CLOS DU BOIS MERLOT,0
CLOS DU BOIS PINOT NOIR,0
CHARLES KRUG CABERNET SAUVIGNON,0
CHARLES KRUG MERLOT,0
CARLO ROSSI PAISANO,0
BIG HOUSE PROHIBITION RED,0
BIG HOUSE RED,0
BIG HOUSE CABERNET SAUVIGNON,0
CASTLE ROCK PINOT NOIR MENDOCINO,0
LIBERTY SCHOOL CABERNET SAUVIGNON,0
CELLAR ZINFANDEL,0
CELLAR PINOT NOIR,0
CHATEAU ST JEAN CINQ CEPAGES,0
ST JEAN CABERNET SAUVIGNON CA,0
CHALK HILL ESTATE RED,0
CLINE ZINFANDEL,0
COLUMBIA CREST CABERNET SAUVIGNON,0
COLUMBIA CREST CABERNET SAUVIGNON MERLOT,0
COLUMBIA CREST MERLOT GR EST,0
COLUMBIA CREST SHIRAZ,0
COLUMBIA CREST WALTER CLORE,0
